20/3/2018	-0.273	-0.37%
19/3/2018	-0.272	0.00%
16/3/2018	-0.272	-0.37%
15/3/2018	-0.271	0.00%
14/3/2018	-0.271	0.00%
13/3/2018	-0.271	0.00%
12/3/2018	-0.271	0.00%
9/3/2018	-0.271	0.37%
8/3/2018	-0.272	0.00%
7/3/2018	-0.272	-0.37%
6/3/2018	-0.271	0.37%
5/3/2018	-0.272	-0.37%
2/3/2018	-0.271	0.00%
1/3/2018	-0.271	-0.37%
28/2/2018	-0.27	0.37%
27/2/2018	-0.271	0.00%
26/2/2018	-0.271	0.00%
23/2/2018	-0.271	-0.37%
22/2/2018	-0.27	0.37%
21/2/2018	-0.271	0.73%
20/2/2018	-0.273	0.36%
19/2/2018	-0.274	0.00%
16/2/2018	-0.274	0.72%
15/2/2018	-0.276	0.00%
14/2/2018	-0.276	0.00%
13/2/2018	-0.276	0.72%
12/2/2018	-0.278	0.00%
9/2/2018	-0.278	0.00%
8/2/2018	-0.278	0.00%
7/2/2018	-0.278	0.36%
6/2/2018	-0.279	-0.36%
5/2/2018	-0.278	0.00%
2/2/2018	-0.278	0.00%
1/2/2018	-0.278	0.36%
31/1/2018	-0.279	-0.36%
30/1/2018	-0.278	0.00%
29/1/2018	-0.278	0.00%
26/1/2018	-0.278	0.00%
25/1/2018	-0.278	0.00%
24/1/2018	-0.278	-0.72%
23/1/2018	-0.276	0.36%
22/1/2018	-0.277	-0.36%
19/1/2018	-0.276	-0.36%
18/1/2018	-0.275	-0.36%
17/1/2018	-0.274	-0.74%
16/1/2018	-0.272	0.73%
15/1/2018	-0.274	-1.11%
12/1/2018	-0.271	0.00%
11/1/2018	-0.271	0.00%
10/1/2018	-0.271	0.00%
9/1/2018	-0.271	0.00%
8/1/2018	-0.271	0.00%
5/1/2018	-0.271	0.00%
4/1/2018	-0.271	0.00%
3/1/2018	-0.271	0.00%
2/1/2018	-0.271	0.00%
29/12/2017	-0.271	0.00%
28/12/2017	-0.271	0.00%
27/12/2017	-0.271	0.00%
22/12/2017	-0.271	0.00%
21/12/2017	-0.271	0.00%
20/12/2017	-0.271	1.09%
19/12/2017	-0.274	-1.11%
18/12/2017	-0.271	0.37%
15/12/2017	-0.272	-0.37%
14/12/2017	-0.271	0.73%
13/12/2017	-0.273	-0.74%
12/12/2017	-0.271	0.00%
11/12/2017	-0.271	0.00%
8/12/2017	-0.271	0.00%
7/12/2017	-0.271	0.00%
6/12/2017	-0.271	0.00%
5/12/2017	-0.271	0.37%
4/12/2017	-0.272	-0.37%
1/12/2017	-0.271	0.37%
30/11/2017	-0.272	0.73%
29/11/2017	-0.274	0.00%
28/11/2017	-0.274	-0.74%
27/11/2017	-0.272	0.00%
24/11/2017	-0.272	-0.37%
23/11/2017	-0.271	0.37%
22/11/2017	-0.272	0.37%
21/11/2017	-0.273	0.36%
20/11/2017	-0.274	0.00%
17/11/2017	-0.274	0.36%
16/11/2017	-0.275	0.00%
15/11/2017	-0.275	0.00%
14/11/2017	-0.275	0.00%
13/11/2017	-0.275	0.00%
10/11/2017	-0.275	0.36%
9/11/2017	-0.276	0.00%
8/11/2017	-0.276	-0.36%
7/11/2017	-0.275	0.36%
6/11/2017	-0.276	0.00%
3/11/2017	-0.276	0.00%
2/11/2017	-0.276	0.00%
1/11/2017	-0.276	0.00%
31/10/2017	-0.276	0.00%
30/10/2017	-0.276	-0.36%
27/10/2017	-0.275	-0.36%
26/10/2017	-0.274	0.00%
25/10/2017	-0.274	0.00%
24/10/2017	-0.274	0.00%
23/10/2017	-0.274	0.00%
