Hewlett-Packard-stock	value-weighted-index	equal-weighted-index	S&P500-index
   7.146   2.754   1.277   3.183
   1.540   0.353   0.876   0.130
   0.845   0.011   0.263   0.072
   0.504  -0.039   0.216  -0.094
   6.328   1.815   0.645   2.197
   2.943   0.653   0.511   0.668
  -3.574  -0.432   0.149  -0.640
  -3.707  -1.127  -0.586  -1.284
  -2.831  -0.514  -0.616  -0.307
   0.674   0.199  -0.025   0.272
  -3.414  -1.551  -0.736  -1.846
  -2.105  -1.632  -1.673  -1.577
   2.209  -0.070  -0.262   0.044
   3.581   1.453   0.972   1.606
  -0.842  -0.764  -0.375  -0.899
   1.841   1.369   0.341   1.710
   0.166   0.275   0.514   0.159
   0.330   0.613   0.701   0.639
  -0.165   1.421   0.589   1.746
  -0.332  -0.788  -0.160  -0.997
  -2.349   0.349   0.268   0.333
  -2.232  -0.497   0.046  -0.646
   1.379   0.367   0.913   0.221
  -1.727  -1.417  -0.298  -1.649
   0.695   1.698   0.822   2.153
   1.033   0.601   1.065   0.431
   3.368   2.336   2.141   2.305
   1.152   0.120   1.028  -0.062
   0.326   1.120   1.288   1.096
  -1.479  -0.519   0.204  -0.683
   1.968   0.608   0.947   0.622
   0.969  -0.473   0.203  -0.656
   2.696   0.651   1.089   0.629
   0.468   0.242   0.782   0.041
  -0.156  -0.153   0.226  -0.211
  -3.654  -0.743  -0.300  -0.775
  -0.976   0.529   0.506   0.700
  -1.980  -1.496  -0.558  -1.682
  -2.020  -2.789  -2.663  -2.734
   4.490   1.083   0.710   1.264
   0.648   0.082   0.660  -0.148
   3.023   1.756   1.301   1.911
  -1.262   0.251   0.531   0.166
   0.791   0.579   0.600   0.546
  -1.427  -1.151  -0.115  -1.623
   0.478   0.038   0.108   0.189
   0.317   0.733   0.529   0.716
   4.947   1.295   0.943   1.295
  -1.827   0.582   0.611   0.540
   3.026  -0.649  -0.086  -0.841
  -3.488  -0.325   0.116  -0.481
   3.190   1.522   1.125   1.709
   0.744   0.183   0.527   0.088
   3.212   0.890   0.720   0.870
  -1.447  -0.146   0.204  -0.417
  -2.809  -0.488   0.079  -0.589
  -0.150  -0.062   0.013   0.007
   1.933   0.439   0.673   0.379
  -1.934  -1.411  -0.978  -1.718
   1.194   0.768   0.078   0.896
   1.034   1.697   0.943   1.896
  -1.628   0.122   0.162   0.094
   0.595  -1.032  -0.656  -1.128
   2.056   1.559   0.519   1.887
  -0.145   0.910   0.762   0.937
   0.580   0.792   0.734   0.772
  -1.458   0.190   0.377   0.124
  -2.228   0.031   0.301   0.000
  -3.982  -1.313  -0.637  -1.580
   1.242   0.941   0.672   1.058
  -1.869  -0.471   0.256  -0.702
   0.627  -0.322  -0.063  -0.370
   0.000  -0.407  -0.376  -0.271
   1.088   0.233  -0.114   0.350
  -0.309  -0.776  -0.096  -1.036
   0.864  -0.205  -0.239  -0.140
   0.613   0.206   0.345   0.207
   1.216   0.691   0.273   0.857
  -0.910  -0.183   0.311  -0.352
   1.363   1.211   0.729   1.417
  -0.755   0.413   0.497   0.365
  -1.373  -0.259   0.177  -0.457
  -0.154  -0.551  -0.457  -0.538
  -0.308  -0.119  -0.097  -0.171
   1.531   0.993   0.588   1.180
  -3.087  -0.115   0.472  -0.280
  -0.157  -0.029  -0.281   0.039
  -3.678  -0.553  -0.088  -0.741
   0.325  -0.630  -0.565  -0.562
  -0.162   0.362   0.195   0.476
   0.163   0.619   0.581   0.715
   1.610   1.300   0.868   1.487
   1.112   0.475   0.451   0.437
   1.256   0.727   0.756   0.608
  -1.098   0.869   0.976   0.851
   0.315   0.508   0.728   0.404
  -0.473   0.620   0.603   0.622
  -1.112  -0.563  -0.204  -0.647
   1.584   1.164   0.889   1.252
  -3.196  -0.205   0.313  -0.412
  -4.822   0.272   0.563   0.231
   0.848  -0.883  -0.400  -1.009
   4.622   1.514   0.697   1.871
  -2.946  -0.081   0.269  -0.229
   0.497   0.897   0.652   0.931
  -0.497   0.782   0.859   0.898
  -2.353  -1.194  -0.533  -1.415
   2.020   0.061  -0.026   0.142
   1.324   0.830   0.998   0.596
   2.918   0.871   1.127   0.592
   2.834   1.185   1.228   1.102
   1.846   0.042   0.496  -0.175
   0.000   0.260   0.665   0.084
  -3.412  -0.508  -0.067  -0.599
   0.000  -0.339   0.180  -0.431
  -0.951   0.477   1.017   0.395
   0.000  -0.956  -0.862  -0.914
   0.950   0.376   0.712   0.190
   4.774   0.047   0.690  -0.269
   1.196  -0.668  -0.102  -0.787
   0.000   0.005   0.150   0.093
   3.361   0.706   0.316   0.793
  -0.287   1.271   1.411   1.283
  -0.433   0.531   0.795   0.404
  -0.727  -0.188   0.648  -0.440
  -0.732  -0.358   0.457  -0.618
  -2.679  -1.143  -0.545  -1.267
   1.348   0.013  -0.172   0.099
   2.207   0.799   0.690   0.876
   1.446   0.426   0.976   0.268
   2.829   0.327   0.419   0.249
  -0.699  -0.924  -0.237  -1.258
  -1.557  -0.812  -0.571  -0.870
   1.135   0.279   0.220   0.291
   2.094   0.682   0.853   0.524
  -0.554   1.163   0.847   1.319
   1.925   0.446   0.435   0.418
   2.689   0.883   0.645   0.956
   1.917   1.079   0.817   1.202
  -1.840   0.027   0.212  -0.006
  -1.335  -0.080   0.058  -0.065
   1.069   0.758   0.454   0.889
  -1.880   0.326   0.534   0.270
   3.200  -0.199   0.027  -0.246
  -0.790   0.195   0.615  -0.100
  -2.139  -1.169  -0.932  -1.145
  -1.087  -1.820  -1.838  -1.664
   0.137   0.461   0.003   0.577
  -0.684   0.879   0.863   0.878
   0.137   0.595   0.789   0.475
  -1.381  -1.260  -0.860  -1.377
   0.969   1.048   0.771   1.122
  -1.387  -0.417   0.253  -0.547
   0.140  -0.215   0.085  -0.286
  -0.279   0.489   0.282   0.614
  -2.549  -1.401  -1.078  -1.547
  -1.883  -0.244  -0.509  -0.042
   1.451   0.338   0.387   0.331
  -1.014  -0.973  -0.503  -1.041
   2.018  -0.392  -0.714  -0.207
   1.135   0.501   0.300   0.536
   5.221   2.341   1.327   2.670
  -6.785   0.101   0.451  -0.136
   3.933   0.021   0.361  -0.101
   1.096   0.327   0.098   0.378
  -2.763   0.397   0.320   0.483
  -3.274  -1.497  -1.002  -1.633
  -2.047  -1.583  -1.129  -1.534
   0.736  -1.431  -1.390  -1.514
   2.032  -0.468  -0.964  -0.321
  -1.739  -0.022  -0.143  -0.019
  -0.587   0.550  -0.056   0.879
  -0.590  -1.162  -1.114  -1.299
  -0.594   0.298   0.238   0.254
  -2.410  -1.491  -1.269  -1.596
   3.446   0.339  -0.472   0.595
  -0.739   0.809   0.497   0.877
  -1.344   0.136   0.278   0.006
   0.150   0.578   0.592   0.377
   1.491   0.852   0.589   0.951
  -1.942  -0.314  -0.417  -0.183
   0.751   0.950   0.418   1.143
  -1.356  -0.726  -0.150  -1.059
  -0.914   0.158   0.038   0.263
   0.000   0.110   0.016   0.220
  -1.388  -0.965  -0.717  -0.960
  -2.675  -0.869  -0.630  -0.938
   0.794  -0.289  -0.440  -0.254
   2.808   0.652   0.201   0.805
   3.329   0.004  -0.308   0.068
   0.298   0.203   0.098   0.203
   3.212   1.011   0.470   1.113
   2.273   0.055   0.170  -0.103
  -0.847   0.683   0.648   0.468
   1.127   1.494   0.892   1.737
  -3.129   0.081   0.188   0.042
   0.576   0.030   0.225  -0.113
  -1.156  -0.133   0.153  -0.508
  -1.464  -0.816  -0.337  -0.867
   0.000  -0.557  -0.763  -0.412
   1.464   0.280  -0.011   0.339
  -2.246  -0.431  -0.271  -0.595
   4.083   0.840   0.279   1.126
   2.260   1.061   0.407   0.827
   2.210   0.762   0.262   0.967
  -1.099  -0.383  -0.132  -0.497
  -1.391   0.754   0.319   0.799
  -1.411  -0.101   0.052  -0.147
  -0.570   0.177   0.128   0.329
  -1.150  -0.881  -0.886  -0.969
   0.000  -0.242  -0.339  -0.249
  -3.231  -0.368  -0.172  -0.465
  -1.201  -0.674  -0.462  -0.696
   1.797  -0.294  -0.575  -0.163
  -2.403   0.279  -0.004   0.283
   2.106   0.673   0.215   0.880
   2.644   1.304   0.508   1.503
   2.576   0.317   0.402   0.305
   0.563   0.769   0.091   1.077
  -2.849  -1.148  -0.551  -1.347
  -3.530  -0.564  -0.743  -0.418
   1.780  -0.029  -0.366   0.147
   1.460   0.028   0.052  -0.012
   2.009   0.151  -0.107   0.335
  -7.062  -1.562  -1.329  -1.549
  -5.001  -0.777  -1.160  -0.646
  -4.256   0.206   0.163   0.150
  -1.008  -0.682  -0.351  -0.619
   2.007  -0.101  -0.665   0.024
  -5.095   0.297   0.150   0.289
  -0.349  -0.557  -0.364  -0.657
   2.076  -0.328  -0.340  -0.328
   0.000  -0.750  -0.367  -0.896
  -3.130  -0.058  -0.398   0.110
   3.130   0.008  -0.583   0.055
   1.361   0.826   0.428   0.730
  -0.339  -0.566  -0.138  -0.847
   0.338  -0.546  -0.324  -0.620
   0.000  -0.370  -0.486  -0.327
   0.000  -0.185  -0.402  -0.093
  -0.678   1.111   0.343   1.357
  -5.596   0.388   0.486   0.268
   3.881   1.186   0.873   1.137
   2.393   0.391   0.646   0.174
  -1.019  -0.519  -0.019  -0.735
   7.873   0.416   0.254   0.434
   0.629   0.091   0.387   0.030
   0.313  -0.395   0.228  -0.628
  -0.627   0.501   0.293   0.580
   2.485   0.424   0.349   0.475
  -0.615   0.086   0.140   0.072
   0.000   0.265   0.373   0.132
  -1.243  -0.300  -0.163  -0.384
   0.000   0.747   0.451   0.820
  -0.627  -0.655   0.012  -0.903
  -0.947   0.072  -0.005   0.054
  -0.318  -0.621  -0.312  -0.633
   3.135   0.010  -0.374   0.199
  -0.619  -0.177  -0.213  -0.181
   3.059   0.228   0.031   0.266
  -1.517  -0.442  -0.389  -0.429
   0.913   0.017  -0.040  -0.067
  -0.303   0.168  -0.236   0.320
  -0.304  -0.351  -0.326  -0.418
  -2.469  -0.929  -0.594  -0.975
  -0.514  -0.813  -0.460  -1.021
   1.869   0.321   0.076   0.444
   1.531  -0.051  -0.248  -0.043
   1.509  -0.211  -0.285  -0.197
   1.780   0.780   0.262   0.958
  -0.590  -0.135   0.224  -0.177
  -0.594   0.018   0.268  -0.031
   1.477   0.687   0.093   0.940
  -0.589   0.254  -0.151   0.351
  -0.295  -0.136   0.183  -0.290
   0.296   0.232   0.741   0.042
   0.000  -0.434   0.075  -0.541
   2.620   1.472   1.017   1.656
  -0.866   1.268   1.239   1.210
  -0.874   0.430   0.959   0.278
  -2.968  -0.212   0.170  -0.224
   1.198  -0.390   0.102  -0.564
  -0.897  -0.073   0.145  -0.095
  -0.603  -0.011   0.297  -0.024
   1.500  -0.339  -0.110  -0.436
   4.652   0.005  -0.168   0.096
   0.000   0.311   0.139   0.388
   1.410  -0.138   0.070  -0.167
   0.836  -0.286  -0.034  -0.304
  -1.399  -0.559  -0.265  -0.498
  -2.568  -0.888  -0.953  -0.809
  -2.339   0.351  -0.180   0.647
  -0.296  -0.570  -0.190  -0.665
  -2.707  -0.419  -0.153  -0.365
   0.305  -0.215  -0.278  -0.183
  -1.532  -0.850  -0.989  -0.655
  -0.619   0.141  -0.313   0.331
  -0.623  -0.420  -0.544  -0.411
   0.313   0.303   0.021   0.380
  -3.487  -1.306  -0.679  -1.511
  -1.954  -1.629  -1.605  -1.775
   3.554   0.166  -0.652   0.417
  -2.247  -1.654  -1.131  -1.838
  -0.651  -0.475  -1.031  -0.276
   1.299   0.529   0.547   0.564
  -2.615  -0.940  -1.054  -0.868
   1.968   0.948   0.294   1.065
  -0.651  -0.112   0.040  -0.230
  -4.683  -0.147  -0.280  -0.077
  -2.426  -0.239  -0.028  -0.250
  -0.352  -0.688  -0.493  -0.709
   0.351  -0.218  -0.137  -0.213
   0.350  -0.176  -0.541  -0.013
   6.104   1.963   1.378   2.066
  -2.330   1.194   0.817   1.130
  -3.425  -1.344  -0.645  -1.569
  -1.404   0.266   0.369   0.153
   4.153   0.677   0.406   0.716
  -0.680   0.695   0.817   0.662
  -1.029  -0.738  -0.173  -0.852
  -3.152  -0.965  -0.413  -1.044
  -1.795  -1.070  -0.813  -1.081
   0.000   0.325   0.191   0.400
  -1.093  -0.442  -0.154  -0.542
   5.349   1.017   0.188   1.281
   3.413   0.423   0.428   0.281
  -0.673  -0.012  -0.013  -0.006
   0.458   0.457   0.205   0.407
   2.985   1.047   0.710   1.175
  -3.323  -0.878  -0.657  -0.940
   1.009   0.551   0.175   0.682
  -1.347  -0.102  -0.014  -0.126
  -3.099  -1.011  -0.527  -1.250
  -1.409  -0.052  -0.189   0.108
  -2.151  -0.045  -0.125  -0.121
   0.722   0.288  -0.031   0.401
   5.935   1.356   0.495   1.627
  -2.055  -0.087   0.174  -0.225
   2.055  -0.104   0.095  -0.213
  -2.749  -0.626  -0.372  -0.757
  -1.404  -0.292  -0.373  -0.203
  -5.074  -0.064  -0.090  -0.076
  -6.132  -1.496  -0.912  -1.600
   5.760   0.025  -0.496   0.284
  -0.749  -0.037  -0.417  -0.019
   0.000   0.232  -0.026   0.270
   0.000  -0.539  -0.392  -0.560
   4.771   1.380   0.302   1.746
   1.424  -0.039   0.336  -0.266
  -1.423   0.482  -0.013   0.640
  -0.720   0.475   0.335   0.410
  -0.725  -0.532  -0.138  -0.675
   1.802   0.034  -0.076   0.076
  -0.717  -0.647  -0.369  -0.775
   1.073   0.573   0.048   0.794
  -0.357   0.333   0.143   0.379
   3.163   0.987   0.591   1.035
   0.345  -0.061   0.189  -0.256
   2.048   0.087   0.021   0.100
   0.000   0.992   0.603   1.013
  -3.436   0.391   0.750   0.136
  -1.763  -0.238   0.152  -0.433
  -4.364  -1.001  -0.285  -1.305
   2.569   0.153  -0.077   0.226
   1.081   0.647   0.248   0.656
   0.000  -0.206  -0.105  -0.255
  -0.720  -0.091  -0.021  -0.069
  -0.725  -0.826  -0.530  -0.948
   1.445  -0.619  -0.546  -0.627
   0.357   0.260  -0.094   0.316
   2.120  -0.021  -0.071  -0.006
  -1.055  -0.947  -0.734  -0.903
  -1.423  -0.580  -0.466  -0.506
   0.357  -0.572  -0.519  -0.676
  -1.439  -0.685  -0.844  -0.551
  -2.569  -0.436  -0.361  -0.475
  -1.876  -1.355  -1.279  -1.262
   0.378   0.205  -0.008   0.258
   0.000  -0.778  -0.711  -0.881
   2.974  -0.010  -0.328   0.040
   2.532   0.323   0.274   0.133
   1.770   1.647   1.050   1.771
   0.000   0.879   0.825   0.715
  -0.704  -0.343  -0.151  -0.448
  -0.710   0.686   0.332   0.881
   1.413   0.034   0.261  -0.058
   1.047   0.167   0.146   0.161
  -1.751  -1.153  -0.795  -1.369
  -2.143  -0.443  -0.405  -0.570
   0.360  -0.031   0.017  -0.039
  -1.683  -0.983  -0.552  -1.151
  -1.476  -0.611  -0.218  -0.908
   5.426   1.371   0.216   1.796
   0.000   0.572   0.366   0.578
   4.138   1.070   0.014   1.450
  -1.703  -0.019   0.314  -0.213
  -0.345   0.100   0.352  -0.032
   1.029  -0.146  -0.005  -0.318
   0.681  -0.753  -0.515  -0.821
   0.000  -0.666  -0.533  -0.703
  -1.022   0.663   0.263   0.788
   0.000   0.288   0.490   0.222
   0.683  -0.130  -0.406   0.013
   0.678   0.330   0.106   0.325
   1.009  -0.497  -0.258  -0.614
  -3.748  -0.337  -0.344  -0.341
   1.379   0.543  -0.082   0.733
  -1.032  -0.224  -0.133  -0.306
   0.000  -1.289  -0.633  -1.536
  -0.694  -0.389  -0.427  -0.353
  -4.636   0.462   0.275   0.565
   0.000   0.214  -0.350   0.476
   3.585   0.381   0.052   0.514
  -1.418  -0.555  -0.342  -0.645
  -0.717  -0.637  -0.462  -0.682
  -1.449  -0.542  -0.467  -0.546
   1.809  -0.624  -1.052  -0.402
   0.000  -0.659  -0.669  -0.762
   0.000   0.472  -0.238   0.681
   2.827   0.802   0.402   0.836
   1.384   0.788   0.582   0.737
  -1.385  -0.438  -0.224  -0.663
   1.727   0.277   0.012   0.313
   3.698   2.044   1.148   2.245
   4.201   2.429   1.712   2.506
   3.116   2.814   2.423   2.723
   0.000   0.409   0.870   0.154
   2.424   0.033  -0.173   0.068
  -1.205  -0.456  -0.203  -0.592
   3.863   1.998   0.804   2.316
  -0.292   0.266   0.561  -0.072
   0.000  -0.101  -0.273   0.006
  -3.269  -0.471  -0.094  -0.613
   0.302  -0.772  -0.342  -0.990
  -4.623   0.544   0.207   0.594
   0.942   0.136   0.103   0.226
   0.000   0.330  -0.100   0.486
   1.551   1.553   0.779   1.737
  -1.550  -0.251   0.137  -0.460
   2.773   0.121   0.073   0.036
  -1.532   0.209   0.425   0.233
  -1.555  -0.520  -0.265  -0.641
   0.625   0.514   0.281   0.575
   1.238  -0.020   0.292  -0.179
  -2.178  -0.256   0.156  -0.299
  -1.266   0.106   0.287   0.048
   0.000  -0.853  -0.531  -1.086
  -1.605  -0.367  -0.248  -0.359
  -0.649   0.721   0.439   0.825
  -1.973  -0.589  -0.136  -0.776
   0.331  -0.081  -0.224  -0.067
   2.292   0.214   0.288   0.116
  -2.623   0.017  -0.046   0.140
   2.765   1.611   0.671   1.961
   1.286   0.638   0.695   0.499
   0.000   0.058   0.022   0.053
  -3.247  -0.530  -0.292  -0.725
   0.658  -0.365  -0.106  -0.425
  -0.658   0.276   0.063   0.316
  -3.015  -0.752   0.067  -1.081
   0.678  -0.292  -0.376  -0.235
   0.674   0.068  -0.392   0.206
   2.322   0.306   0.045   0.398
  -0.329   0.340   0.133   0.408
  -1.659  -0.382  -0.048  -0.516
  -1.008  -0.814  -0.688  -0.895
  -1.703  -0.614  -0.432  -0.628
  -1.733  -0.621  -0.591  -0.705
   0.349   0.198   0.051   0.295
  -1.050  -0.062   0.089  -0.147
  -1.777  -0.349  -0.323  -0.339
   0.357  -0.191  -0.260  -0.284
   3.163   0.173  -0.342   0.272
   1.033   0.423   0.402   0.412
  -1.379   0.839   0.504   0.856
   3.077   0.818   0.226   0.963
  -0.675  -0.399  -0.227  -0.599
  -0.680  -0.317  -0.111  -0.389
   5.640   1.876   0.520   2.384
  -1.298   0.115   0.342  -0.083
  -0.328  -0.315  -0.345  -0.358
   1.626  -0.119  -0.104  -0.161
   1.282   0.030   0.032   0.066
  -4.895  -0.491  -0.241  -0.533
  -3.401  -0.610  -0.245  -0.615
  -1.745  -0.305  -0.315  -0.309
   3.120   1.044   0.237   1.242
  -1.029  -0.295  -0.155  -0.451
   1.709   0.702   0.161   0.839
  -0.680   0.130   0.161  -0.042
   1.019   0.665   0.205   0.691
   2.667   0.972   0.370   1.080
  -1.994  -0.639  -0.232  -0.731
  -4.812  -0.193  -0.030  -0.290
  -3.220  -0.398   0.051  -0.642
  -1.097  -0.172  -0.246  -0.143
   0.732  -0.707  -0.528  -0.834
  -0.733  -0.071  -0.309   0.012
  -0.738  -0.092  -0.207  -0.060
  -1.492  -0.848  -0.539  -1.085
  -3.442  -0.694  -0.899  -0.611
   0.388   0.470  -0.192   0.660
   1.156   0.221   0.010   0.207
   2.647   1.291   0.739   1.448
   0.372  -0.620  -0.395  -0.824
   1.842   0.448  -0.044   0.446
  -2.963  -0.668  -0.290  -0.767
  -0.755  -0.636  -0.592  -0.675
  -0.380  -0.241  -0.191  -0.201
  -1.148  -0.428  -0.620  -0.466
   1.147   0.208  -0.141   0.343
  -0.381  -0.688  -0.769  -0.786
   1.515   0.269  -0.022   0.406
   0.749  -0.175   0.017  -0.307
   0.372   0.262  -0.233   0.350
   0.371   0.198  -0.064   0.147
  -0.744  -0.210   0.035  -0.270
  -3.632  -0.379  -0.053  -0.505
   1.156   0.483   0.422   0.543
   0.763   0.472  -0.229   0.563
   4.098   2.375   1.215   2.713
   2.166  -0.249   0.384  -0.567
  -1.802  -0.366  -0.215  -0.468
  -0.730  -0.322  -0.082  -0.524
   1.815   0.680   0.540   0.752
  -0.361  -0.113   0.053  -0.174
  -1.089  -0.401  -0.296  -0.434
  -0.733   0.260   0.180   0.308
  -0.369   0.496   0.793   0.587
   0.000  -0.879  -0.111  -1.124
   0.000  -0.320   0.111  -0.485
  -0.741  -0.408  -0.007  -0.542
   0.371   0.262   0.151   0.341
   1.470  -0.044   0.215  -0.152
   1.089   0.648   0.549   0.723
   5.273   1.695   1.035   1.877
  -1.727  -0.058   0.508  -0.238
   2.410   1.395   0.999   1.536
   1.015   0.303   0.673   0.170
   0.000   0.395   0.826   0.228
  -3.774  -0.082   0.583  -0.269
  -0.701   0.324   0.678   0.345
   2.435   1.996   1.256   2.256
  -3.496   0.249   0.421   0.143
  -3.624   1.004   0.706   1.032
   2.190  -0.117   0.437  -0.334
   3.197   0.432   0.500   0.361
   1.389   0.229   0.521   0.023
   2.048   0.828   0.452   1.004
   2.337   0.301   0.723   0.117
  -0.995   0.074   0.336   0.134
  -1.681  -0.422   0.202  -0.559
   3.005   0.964   0.639   0.958
  -0.660   0.342   0.551   0.144
  -0.332   0.135   0.598  -0.100
   1.973   0.809   1.015   0.767
   0.325   0.261   0.692   0.203
  -2.299  -0.748  -0.093  -0.926
  -3.036  -0.001   0.089   0.028
   0.000   1.360   0.888   1.533
   2.034  -0.299   0.316  -0.514
  -2.034  -0.398   0.107  -0.445
  -1.032  -0.120  -0.113  -0.149
   4.068   0.032   0.185  -0.083
   0.331  -0.536  -0.225  -0.547
  -2.007  -0.400  -0.130  -0.462
   3.649  -0.253  -0.571  -0.072
  -1.642   0.865   0.308   1.076
  -3.025  -0.122  -0.035  -0.254
   1.019   0.221   0.136   0.266
   2.007   1.047   0.747   1.120
  -2.007  -0.475  -0.144  -0.641
   0.674   0.072   0.008   0.093
  -1.351  -0.762  -0.236  -0.871
  -2.062  -0.565  -0.393  -0.633
  -1.751  -0.237  -0.080  -0.228
   1.403  -0.184  -0.312  -0.173
  -1.757   0.337  -0.016   0.486
  -4.720  -0.839  -0.671  -0.821
   0.164  -0.111  -0.130  -0.196
   0.000  -0.415   0.078  -0.740
  -0.373  -0.081  -0.374   0.198
   0.743   1.249   0.452   1.493
  -0.744  -0.166  -0.080  -0.256
  -0.374   0.162   0.078   0.151
  -1.130  -0.182  -0.061  -0.173
  -0.380  -0.553  -0.515  -0.600
   2.627   0.192  -0.123   0.258
   1.470   0.604   0.351   0.620
  -0.733   0.133   0.153   0.000
   0.000   0.589   0.432   0.622
   1.097   0.287  -0.013   0.337
   0.724  -0.342  -0.180  -0.409
  -3.303  -0.713  -0.441  -0.790
   1.113  -0.045  -0.029  -0.045
  -1.862  -0.388  -0.324  -0.561
  -0.377   0.085  -0.070   0.101
   0.376   0.644   0.391   0.677
   2.231   0.450   0.388   0.428
   1.097   0.171   0.118   0.194
   1.085   0.239   0.096   0.210
   0.716   0.182   0.013   0.155
  -0.717   0.248   0.192   0.265
  -1.449  -0.387  -0.041  -0.463
   0.364   0.122  -0.007   0.149
  -2.952  -0.223  -0.232  -0.226
   1.487   0.538   0.104   0.651
   0.368   0.169   0.032   0.209
  -1.482   0.518   0.130   0.640
  -1.504  -0.491   0.008  -0.683
  -2.688  -0.782  -0.478  -0.855
  -1.174  -0.501  -0.499  -0.444
   0.000  -0.639  -0.250  -0.815
   1.563   0.150  -0.167   0.358
   0.387   0.579   0.267   0.596
   0.385   0.045  -0.118  -0.050
   0.766   0.430   0.183   0.427
  -0.383   0.000   0.015  -0.077
   0.000   0.765   0.554   0.717
   4.129   1.289   0.936   1.289
   1.821   0.179   0.086   0.179
  -1.821  -0.262  -0.223  -0.402
   0.000   0.352   0.073   0.363
  -3.365   0.580   0.297   0.605
   3.732   0.911   0.546   0.944
   5.349   1.161   0.655   1.220
  -4.983  -0.017  -0.062  -0.042
  -2.963  -0.552  -0.348  -0.572
  -3.831  -0.461  -0.015  -0.510
   3.077   0.340   0.206   0.367
   2.617  -0.115  -0.283  -0.228
  -0.741  -0.065  -0.138  -0.096
  -1.498   0.010  -0.081   0.037
   0.376   0.757   0.416   0.954
   1.863   0.070  -0.067  -0.121
   0.735   0.380   0.078   0.379
  -4.112   0.150   0.155   0.063
   0.381   0.350   0.091   0.472
   0.757  -0.589  -0.220  -0.725
   2.608  -0.098  -0.201  -0.090
   0.000  -0.184  -0.115  -0.248
  -0.369  -0.575  -0.247  -0.759
  -3.592  -1.058  -0.608  -1.222
   1.898   0.744   0.324   0.950
  -3.831  -0.232  -0.261  -0.305
   0.778   0.379   0.037   0.433
   0.772  -0.189   0.044  -0.380
   0.384  -0.043  -0.218   0.054
   4.495   1.076   0.424   1.530
   1.454   0.068   0.038  -0.243
   1.077   0.354   0.419   0.312
   0.000   0.184   0.063   0.169
  -0.358   0.580   0.470   0.614
   0.357   0.341   0.353   0.323
   2.469   0.302   0.044   0.302
  -0.699  -0.090   0.057  -0.218
   0.350  -0.177   0.129  -0.292
   1.044   0.552   0.461   0.557
  -1.043  -0.295  -0.271  -0.306
  -1.763  -0.340  -0.253  -0.460
   1.062   0.604   0.377   0.689
   1.398   0.347   0.439   0.296
  -0.696   0.220   0.350   0.181
   0.000  -0.110   0.051  -0.295
   3.098   0.977   0.515   1.033
   2.014   0.426   0.486   0.477
  -3.036  -0.504  -0.057  -0.651
   1.698   0.330   0.480   0.385
   2.000  -0.430  -0.153  -0.401
  -0.662  -0.793  -0.150  -0.930
  -1.338  -0.562  -0.312  -0.505
   2.000   0.122   0.248   0.251
  -0.662   0.155   0.225   0.177
  -1.002  -1.350  -0.663  -1.466
   0.335   0.092  -0.056   0.174
   1.329   0.487   0.353   0.520
   1.311   0.691   0.520   0.621
   0.000  -0.216   0.186  -0.329
  -2.306  -0.505  -0.542  -0.450
  -2.020  -1.182  -0.697  -1.421
   0.000  -0.259  -0.453  -0.133
  -1.370   0.715   0.408   0.675
   0.688  -0.181   0.080  -0.334
  -1.379  -0.295  -0.283  -0.367
   0.692  -0.176  -0.202  -0.176
   1.029   0.124   0.143   0.059
  -1.374  -0.031   0.098  -0.080
  -1.394  -0.524  -0.278  -0.621
  -0.704   0.130  -0.113   0.150
   0.352   0.658   0.135   0.908
   1.398   0.476   0.262   0.572
   0.000  -0.735  -0.269  -0.957
  -0.696  -0.075   0.179  -0.101
   1.733   0.141  -0.058   0.075
   0.343   0.350   0.093   0.421
   0.000   0.336   0.151   0.387
  -0.687   0.099   0.159   0.053
  -2.091  -0.016   0.386  -0.159
   0.000  -0.410  -0.541  -0.383
  -1.777  -0.304  -0.334  -0.287
  -2.541  -0.017  -0.100  -0.053
   1.097   0.430   0.259   0.517
   0.724   0.090  -0.142   0.005
  -1.089  -0.712  -0.432  -0.720
  -1.471  -0.996  -0.758  -1.006
  -1.703  -0.767  -0.546  -0.727
  -0.758  -0.585  -0.661  -0.426
  -0.381  -0.105  -0.438  -0.016
   1.138  -0.940  -1.162  -0.834
   1.126   0.112  -0.410   0.193
  -0.374   0.911   0.636   0.921
  -3.042  -0.409   0.133  -0.734
   0.769   0.954   0.416   1.228
  -2.326  -0.728  -0.450  -0.916
   0.391  -0.977  -0.522  -1.079
   1.165   0.127  -0.457   0.348
   0.385   0.283  -0.017   0.435
   1.526   1.381   0.407   1.629
  -1.527  -0.351  -0.065  -0.547
  -0.386   0.134   0.094   0.163
  -1.165  -0.500  -0.213  -0.620
  -3.175  -0.645  -0.402  -0.740
  -4.116  -0.117  -0.369   0.000
   0.000   0.349   0.156   0.356
  -1.695   0.230   0.111   0.142
   2.532   0.782   0.384   0.818
   3.279   0.993   0.428   1.128
  -1.626  -0.093  -0.014  -0.156
  -1.238   0.844   0.435   1.016
  -0.833   0.047   0.386  -0.170
  -2.114  -0.187   0.120  -0.331
   1.274  -0.075  -0.183  -0.043
   2.500   0.515   0.116   0.576
   3.239   0.470   0.274   0.556
   0.794  -0.182   0.141  -0.312
  -2.806  -0.481  -0.069  -0.521
  -1.228   0.088  -0.144   0.128
   0.411   0.721   0.334   0.780
