Hewlett-Packard-stock	value-weighted-index	equal-weighted-index	S&P500-index
   0.873   1.048   0.806   1.105
   0.521   1.927   1.343   1.905
  -2.275  -0.347   0.226  -0.557
  -0.177  -0.285   0.293  -0.432
  -5.092  -1.137  -0.234  -1.265
   3.303   0.572   0.319   0.614
  -0.907   0.729   0.894   0.594
   0.000   0.756   0.874   0.679
   0.363   0.117   0.620  -0.095
   1.083   0.081   0.294   0.104
   1.426   0.919   0.911   0.847
   3.650   1.481   1.201   1.667
  -0.891  -0.348   0.119  -0.366
   1.029   0.558   0.899   0.660
   3.685   0.816   0.341   0.886
   1.307  -0.625  -0.625  -0.747
   1.450   0.652   0.077   0.723
  -3.087  -1.136  -0.303  -1.274
  -3.015  -2.003  -1.617  -1.858
   0.000  -2.417  -2.401  -2.249
   1.854   1.537   1.081   1.542
   1.492   1.375   0.666   1.322
   0.982   0.733   0.633   0.752
   2.573   1.094   1.134   0.963
   2.817   1.723   1.148   1.839
  -1.243  -0.452  -0.002  -0.556
   1.396   0.502   0.623   0.495
  -1.397  -0.307   0.232  -0.464
  -0.470  -0.381   0.157  -0.574
   1.712   1.203   0.757   1.326
   0.615   0.028   0.303  -0.008
   0.000   1.257   0.605   1.265
  -2.800  -1.149  -0.453  -1.113
  -1.911  -0.444  -0.244  -0.530
   1.437   0.712   0.183   0.826
  -1.115  -0.575  -0.281  -0.583
   0.320   0.192   0.527   0.061
  -1.936  -1.783  -0.790  -1.829
  -0.817   0.240   0.339   0.247
  -2.326  -1.402  -0.623  -1.529
   1.169   0.097  -0.202   0.133
   0.166  -0.209   0.195  -0.109
  -4.581  -1.496  -0.650  -1.275
   2.062   1.012   0.348   0.930
   3.673   1.160   0.435   1.224
   4.801   1.689   1.126   1.759
  -1.575  -1.785  -1.144  -1.860
   1.731   0.179  -0.210   0.209
   1.701   0.255   0.038   0.232
   2.124   1.266   0.795   1.366
   0.897   2.294   1.271   2.505
   0.593   1.506   1.040   1.402
   2.916   0.543   0.665   0.483
   7.205   0.419   0.033   0.436
   1.591   1.408   0.734   1.406
  -0.263  -0.324   0.280  -0.459
   0.658   0.946   0.565   0.959
  -2.522  -0.765  -0.282  -0.923
  -0.809  -0.575  -0.575  -0.577
  -0.271   0.842   0.592   0.734
   0.000   0.582   0.489   0.601
  -2.198   0.364   0.492   0.250
   0.139  -2.147  -1.072  -2.384
   1.514  -0.273  -0.558  -0.175
   0.137  -0.059   0.385  -0.190
   0.950  -0.096   0.501  -0.168
  -0.814  -1.929  -1.042  -1.811
  -2.483  -2.681  -2.816  -2.585
   0.279  -0.165  -0.764  -0.100
  -2.539  -1.587  -0.910  -1.716
  -0.143  -1.137  -2.383  -0.704
   1.421   1.475   1.046   1.457
   0.703   0.160   0.207   0.170
   2.216   0.746  -0.138   0.884
   0.000   1.604   0.746   1.738
  -0.301   0.412   0.689   0.083
  -3.215   0.708   0.805   0.525
  -0.999   1.368   0.797   1.544
   1.141  -0.291   0.143  -0.355
   0.142   0.405   0.415   0.428
  -0.283   0.488   0.424   0.507
  -0.570  -1.040  -0.573  -1.134
   1.278   0.202   0.119   0.222
   0.982   0.397   0.987   0.317
  -1.265   0.608   0.939   0.426
   1.126   0.976   1.054   1.189
   0.419   0.037   0.534   0.109
  -1.685  -2.613  -3.290  -2.226
  -2.874  -1.332  -0.517  -1.506
   0.581   0.426   0.881   0.316
  -3.090   0.095   0.445   0.030
  -0.149  -0.221  -0.066  -0.172
   0.894   0.306   0.572   0.135
  -3.166   0.588   0.419   0.560
   0.000   0.514   0.574   0.409
   0.153  -0.229   0.214  -0.297
  -2.164  -1.855  -1.074  -2.045
  -0.942  -0.301  -0.286  -0.220
   3.411  -0.767  -0.465  -0.841
  -1.228   0.005   0.168  -0.023
  -0.309  -0.446  -0.397  -0.299
   1.383   1.040   0.473   0.981
   1.665  -0.424   0.100  -0.597
   1.046  -0.035   0.257  -0.077
  -2.254  -0.469   0.109  -0.531
  -2.151  -2.209  -1.882  -2.059
   3.359   1.091   0.111   1.214
   1.786   0.282   0.478   0.101
   0.734   0.976   0.789   0.806
   3.029   0.855   0.718   0.745
   0.566  -0.923  -0.288  -1.023
  -0.851  -0.091  -0.124  -0.023
  -1.147  -0.696  -0.240  -0.777
  -1.160  -0.593  -0.453  -0.595
  -1.025  -0.234  -0.172  -0.393
   0.000   0.467  -0.005   0.652
   4.041   0.462   0.181   0.523
  -3.015  -1.404  -0.808  -1.466
  -0.292  -0.099  -0.194  -0.024
   1.307   0.606   0.182   0.606
  -0.144   0.217   0.292   0.031
  -0.580   0.718  -0.003   0.883
   0.435   1.179   0.860   1.222
   1.294   0.967   0.819   0.895
  -0.143   0.625   0.385   0.562
  -2.169  -0.882  -0.161  -1.104
  -0.881   0.201   0.252   0.230
  -0.592  -0.489   0.122  -0.714
  -0.894  -0.035   0.297  -0.062
   1.780   0.804   0.352   0.973
  -1.781  -0.449  -0.230  -0.504
  -1.205  -0.280  -0.185  -0.392
   2.395   2.235   1.163   2.462
  -0.892   0.079   0.575  -0.060
   3.808   1.076   0.642   1.172
  -0.287  -0.421  -0.023  -0.566
   0.717   0.255   0.422   0.224
   0.543  -0.424   0.319  -0.568
  -0.428   0.692   0.867   0.464
   3.652   1.082   0.597   1.194
  -3.366  -0.526  -0.012  -0.755
   2.674   1.577   0.901   1.796
   0.554  -0.395   0.196  -0.615
  -0.138  -0.979  -0.251  -1.196
   1.237  -0.223  -0.022  -0.275
   1.087   1.050   0.751   1.273
   0.000   0.575   0.517   0.418
   0.000   0.021   0.288  -0.183
   0.540  -0.432   0.275  -0.611
   1.203  -1.082  -0.665  -1.158
  -0.532   0.001   0.183  -0.015
   0.666   0.358   0.388   0.299
   1.840   0.400   0.506   0.268
   1.037   0.049   0.455  -0.119
   0.514  -1.029  -0.528  -1.016
  -2.466  -0.489  -0.367  -0.354
   1.823   1.042   0.638   1.117
  -0.258   0.471   0.822   0.394
   3.683   0.544   0.338   0.555
  -0.500  -0.889  -0.273  -0.905
   1.493  -0.046   0.088  -0.067
   1.349  -0.016   0.300  -0.149
   0.607   0.809   0.659   0.892
  -0.729   0.253   0.171   0.252
  -2.720  -0.915  -0.816  -0.853
  -1.008  -0.883  -0.598  -0.958
  -0.253   0.070   0.279  -0.180
  -0.637  -0.103  -0.030  -0.068
  -1.027  -1.491  -1.387  -1.557
   0.515  -0.318  -0.640  -0.268
   0.512   0.446   0.246   0.352
   0.000   0.778   0.536   0.679
   0.510   0.147   0.469  -0.008
  -1.537  -1.359  -0.757  -1.492
   2.925   0.702   0.083   0.776
  -0.377   0.045   0.289  -0.130
   0.877   0.642   0.553   0.557
   2.949   0.691   0.585   0.676
   0.723   0.216   0.200   0.280
  -1.942  -0.282  -0.240  -0.341
   0.000   0.168   0.332  -0.068
  -0.985  -0.045   0.137  -0.189
   0.370   0.011   0.378  -0.320
   1.104   0.977   0.441   1.090
   1.213   0.706   0.634   0.750
   1.436  -0.143   0.430  -0.239
   0.710  -0.462   0.362  -0.646
   0.588  -0.200   0.092  -0.136
  -3.216  -1.409  -1.115  -1.361
   0.843   0.050  -0.302   0.069
  -0.602   0.214   0.270   0.191
   1.081   0.911   0.492   0.957
   0.119  -0.006  -0.009   0.015
   0.595  -0.274  -0.329  -0.204
  -2.523   0.276   0.188   0.265
   1.923   1.056   0.821   1.075
  -1.565   0.003   0.386  -0.194
   0.363   0.073   0.172   0.090
  -4.072  -1.105  -0.859  -1.099
  -0.252   0.755   0.072   0.881
  -2.428  -1.115  -0.475  -1.268
  -0.649   0.469   0.261   0.478
   0.000  -0.189  -0.103  -0.242
   1.422   0.974   0.349   1.055
  -0.514  -0.483  -0.118  -0.518
   0.899   0.202   0.121   0.113
   0.256  -0.099   0.045  -0.188
  -0.384  -0.630  -0.534  -0.506
  -2.594  -0.578  -0.707  -0.517
  -1.190  -0.924  -0.679  -1.103
  -1.880  -0.917  -0.694  -0.875
  -1.090  -1.093  -1.397  -0.992
   0.683   0.393  -0.409   0.681
  -0.957   0.141  -0.086   0.062
   0.000   0.720   0.651   0.761
  -1.105   0.140   0.474   0.054
  -1.681   0.176   0.107   0.209
  -0.994  -0.005  -0.441   0.008
   1.135   0.435   0.447   0.446
   1.261   0.266   0.320   0.084
   2.612   0.339   0.425   0.321
  -1.780  -1.503  -1.246  -1.572
  -1.953  -0.404  -0.885  -0.295
   0.000  -0.799  -0.377  -0.947
  -1.418   0.157  -0.197   0.212
   1.137   0.841   0.614   0.829
   3.334   0.857   0.460   1.115
   0.273  -0.519  -0.227  -0.587
   0.544   0.021   0.137   0.015
   1.078   0.577   0.423   0.656
   2.384   0.752   0.660   0.698
   2.329  -0.301  -0.402  -0.337
  -0.513   0.458  -0.102   0.535
   1.277   1.147   0.485   1.130
  -0.764   0.190   0.288  -0.023
  -0.256  -0.410  -0.099  -0.673
   0.256   0.386  -0.271   0.598
   1.523   0.933   0.366   0.983
  -0.759  -0.186   0.155  -0.337
  -2.051   0.166   0.113   0.082
  -2.095  -0.615  -0.164  -0.767
  -1.064  -0.956  -0.929  -0.964
  -2.162  -1.036  -1.149  -0.850
  -0.273   0.256   0.088   0.292
   0.000   0.209   0.126   0.153
  -0.550  -0.962  -0.497  -1.123
  -3.647  -2.979  -2.524  -2.928
   1.137  -0.450  -1.491  -0.295
  -0.567  -0.089  -0.114  -0.136
   0.848  -1.014  -0.744  -1.167
   0.841   0.506   0.254   0.461
  -2.833  -1.087  -0.808  -1.045
   0.573   0.201  -0.597   0.187
   0.569   0.310   0.159   0.381
  -1.720  -1.952  -1.454  -1.839
  -1.163  -0.971  -1.119  -0.970
  -1.770  -2.028  -2.446  -1.756
   0.298   0.247  -0.083   0.355
   1.473   1.551   1.240   1.459
   2.598   1.218   1.253   1.217
  -2.597  -0.741  -0.061  -0.784
  -0.292  -0.613  -0.122  -0.741
  -0.589  -0.843  -0.942  -0.754
  -2.848  -1.499  -1.116  -1.458
   0.908  -0.857  -0.862  -0.763
   1.198   0.579  -0.126   0.839
  -2.105  -0.418  -0.347  -0.479
  -0.916  -1.170  -1.973  -0.887
  -0.924  -0.373  -0.110  -0.555
  -2.508  -2.426  -3.031  -1.967
   3.432   2.045  -0.199   2.418
   2.724   0.861   2.098   0.354
   0.299   0.295   0.792   0.207
  -1.197   0.798   0.772   0.772
   2.675   2.020   1.746   1.928
   0.000   0.321   0.761   0.126
  -1.776  -0.071   0.145  -0.100
   2.652   1.581   1.432   1.595
   5.101   0.920   1.138   0.821
  -0.554  -0.481   0.363  -0.705
  -3.104  -0.185   0.134  -0.198
   1.704  -0.174   0.073  -0.356
  -2.280  -1.572  -1.012  -1.653
   0.288   0.579   0.136   0.763
  -1.447  -0.308   0.112  -0.435
  -1.764  -0.168  -0.310  -0.176
   0.886   1.016   0.491   1.087
   1.750  -0.082   0.242  -0.150
  -0.580  -0.293  -0.338  -0.384
  -1.464  -0.739  -0.352  -0.873
   2.620  -0.382  -0.571  -0.372
   0.287   0.967   0.626   0.951
   0.571   0.215   0.367   0.134
   0.568  -0.367  -0.156  -0.327
   3.617   2.220   1.131   2.349
   3.226   1.938   1.197   1.877
   2.094   0.528   0.534   0.482
  -2.625   0.132   0.310  -0.048
  -2.151  -0.637   0.022  -0.967
  -1.093  -0.447  -0.021  -0.706
   2.443   0.398  -0.075   0.504
   0.000  -0.346  -0.112  -0.480
   0.000   0.197   0.011   0.179
  -2.718   0.253   0.355   0.220
  -3.933  -1.180  -0.303  -1.242
  -2.613  -1.272  -1.358  -1.182
   1.460   0.600  -0.091   0.754
  -7.522  -0.426  -0.117  -0.738
   1.242   0.475  -0.141   0.373
  -1.243   0.918   0.670   0.825
   0.000  -0.064  -0.176  -0.090
   0.000   1.320   0.331   1.559
   1.551   0.399   0.467   0.436
  -0.617   0.826   0.475   0.835
   2.447   0.862   0.134   1.002
   1.201  -0.207  -0.218  -0.198
  -2.112  -1.018  -0.442  -1.124
  -0.919   0.365  -0.008   0.344
   0.308   0.714   0.590   0.907
  -3.432  -0.772  -0.609  -0.851
   0.947  -0.471  -0.863  -0.296
   1.560   0.537   0.109   0.528
   0.925   0.217   0.147   0.183
   0.000  -0.564  -0.039  -0.622
  -1.857  -1.583  -1.314  -1.736
   0.313   0.098  -0.105   0.171
  -0.162  -0.331  -0.026  -0.464
   1.858   0.433   0.296   0.570
  -0.615   0.660   0.654   0.712
  -0.309  -0.430  -0.404  -0.533
  -0.933  -0.358  -0.278  -0.374
  -0.627  -0.339  -0.013  -0.465
  -0.631   0.252   0.424   0.188
  -0.317  -0.252  -0.354  -0.220
  -0.957  -0.529  -0.504  -0.492
   0.957   0.419   0.263   0.517
   0.633   0.359   0.928   0.204
   0.315   0.181   0.385   0.155
